Search Method,Dataset,Metric,Value,Sheet,Parameter,Best Value,Unnamed: 0,precision,recall,f1-score,support
Grid Search,,,,PC3 Classification Report,,,weighted avg,0.937263688,0.936507937,0.936465235,378
Grid Search,PC4,Accuracy,0.970720721,PC4 Performance Metrics,,,,,,,
Grid Search,PC4,Precision,0.949367089,PC4 Performance Metrics,,,,,,,
Grid Search,PC4,Recall,0.995575221,PC4 Performance Metrics,,,,,,,
Grid Search,PC4,F1 Score,0.971922246,PC4 Performance Metrics,,,,,,,
Grid Search,PC4,AUC,0.996143541,PC4 Performance Metrics,,,,,,,
Grid Search,PC4,,,PC4 Best Hyperparameters,colsample_bytree,0.6,,,,,
Grid Search,PC4,,,PC4 Best Hyperparameters,learning_rate,0.1,,,,,
Grid Search,PC4,,,PC4 Best Hyperparameters,max_depth,-1,,,,,
Grid Search,PC4,,,PC4 Best Hyperparameters,min_child_samples,10,,,,,
Grid Search,PC4,,,PC4 Best Hyperparameters,n_estimators,200,,,,,
Grid Search,PC4,,,PC4 Best Hyperparameters,num_leaves,31,,,,,
Grid Search,PC4,,,PC4 Best Hyperparameters,subsample,0.6,,,,,
Grid Search,,,,PC4 Classification Report,,,0,0.995169082,0.944954128,0.969411765,218
Grid Search,,,,PC4 Classification Report,,,1,0.949367089,0.995575221,0.971922246,226
Grid Search,,,,PC4 Classification Report,,,accuracy,0.970720721,0.970720721,0.970720721,0.970720721
Grid Search,,,,PC4 Classification Report,,,macro avg,0.972268085,0.970264675,0.970667005,444
Grid Search,,,,PC4 Classification Report,,,weighted avg,0.971855455,0.970720721,0.970689622,444
Random Search,CM1,Accuracy,0.929824561,CM1 Performance Metrics,,,,,,,
Random Search,CM1,Precision,0.912280702,CM1 Performance Metrics,,,,,,,
Random Search,CM1,Recall,0.945454545,CM1 Performance Metrics,,,,,,,
Random Search,CM1,F1 Score,0.928571429,CM1 Performance Metrics,,,,,,,
Random Search,CM1,AUC,0.960862866,CM1 Performance Metrics,,,,,,,
Random Search,CM1,,,CM1 Best Hyperparameters,subsample,0.8,,,,,
Random Search,CM1,,,CM1 Best Hyperparameters,num_leaves,20,,,,,
Random Search,CM1,,,CM1 Best Hyperparameters,n_estimators,200,,,,,
Random Search,CM1,,,CM1 Best Hyperparameters,min_child_samples,10,,,,,
Random Search,CM1,,,CM1 Best Hyperparameters,max_depth,5,,,,,
Random Search,CM1,,,CM1 Best Hyperparameters,learning_rate,0.1,,,,,
Random Search,CM1,,,CM1 Best Hyperparameters,colsample_bytree,0.8,,,,,
Random Search,,,,CM1 Classification Report,,,0,0.947368421,0.915254237,0.931034483,59
Random Search,,,,CM1 Classification Report,,,1,0.912280702,0.945454545,0.928571429,55
Random Search,,,,CM1 Classification Report,,,accuracy,0.929824561,0.929824561,0.929824561,0.929824561
Random Search,,,,CM1 Classification Report,,,macro avg,0.929824561,0.930354391,0.929802956,114
Random Search,,,,CM1 Classification Report,,,weighted avg,0.930440135,0.929824561,0.929846167,114
Random Search,JM1,Accuracy,0.869476268,JM1 Performance Metrics,,,,,,,
Random Search,JM1,Precision,0.909671533,JM1 Performance Metrics,,,,,,,
Random Search,JM1,Recall,0.819227609,JM1 Performance Metrics,,,,,,,
Random Search,JM1,F1 Score,0.862083874,JM1 Performance Metrics,,,,,,,
Random Search,JM1,AUC,0.931190102,JM1 Performance Metrics,,,,,,,
Random Search,JM1,,,JM1 Best Hyperparameters,subsample,0.6,,,,,
Random Search,JM1,,,JM1 Best Hyperparameters,num_leaves,40,,,,,
Random Search,JM1,,,JM1 Best Hyperparameters,n_estimators,200,,,,,
Random Search,JM1,,,JM1 Best Hyperparameters,min_child_samples,10,,,,,
Random Search,JM1,,,JM1 Best Hyperparameters,max_depth,-1,,,,,
Random Search,JM1,,,JM1 Best Hyperparameters,learning_rate,0.1,,,,,
Random Search,JM1,,,JM1 Best Hyperparameters,colsample_bytree,0.6,,,,,
Random Search,,,,JM1 Classification Report,,,0,0.836795252,0.919315403,0.876116505,1227
Random Search,,,,JM1 Classification Report,,,1,0.909671533,0.819227609,0.862083874,1217
Random Search,,,,JM1 Classification Report,,,accuracy,0.869476268,0.869476268,0.869476268,0.869476268
Random Search,,,,JM1 Classification Report,,,macro avg,0.873233393,0.869271506,0.869100189,2444
Random Search,,,,JM1 Classification Report,,,weighted avg,0.8730843,0.869476268,0.869128898,2444
Random Search,KC1,Accuracy,0.813218391,KC1 Performance Metrics,,,,,,,
Random Search,KC1,Precision,0.826923077,KC1 Performance Metrics,,,,,,,
Random Search,KC1,Recall,0.77245509,KC1 Performance Metrics,,,,,,,
Random Search,KC1,F1 Score,0.79876161,KC1 Performance Metrics,,,,,,,
Random Search,KC1,AUC,0.888874185,KC1 Performance Metrics,,,,,,,
Random Search,KC1,,,KC1 Best Hyperparameters,subsample,0.6,,,,,
Random Search,KC1,,,KC1 Best Hyperparameters,num_leaves,40,,,,,
Random Search,KC1,,,KC1 Best Hyperparameters,n_estimators,200,,,,,
Random Search,KC1,,,KC1 Best Hyperparameters,min_child_samples,20,,,,,
Random Search,KC1,,,KC1 Best Hyperparameters,max_depth,7,,,,,
Random Search,KC1,,,KC1 Best Hyperparameters,learning_rate,0.1,,,,,
Random Search,KC1,,,KC1 Best Hyperparameters,colsample_bytree,0.8,,,,,
Random Search,,,,KC1 Classification Report,,,0,0.802083333,0.850828729,0.825737265,181
Random Search,,,,KC1 Classification Report,,,1,0.826923077,0.77245509,0.79876161,167
Random Search,,,,KC1 Classification Report,,,accuracy,0.813218391,0.813218391,0.813218391,0.813218391
Random Search,,,,KC1 Classification Report,,,macro avg,0.814503205,0.81164191,0.812249438,348
Random Search,,,,KC1 Classification Report,,,weighted avg,0.814003555,0.813218391,0.812792051,348
Random Search,KC3,Accuracy,0.859375,KC3 Performance Metrics,,,,,,,
Random Search,KC3,Precision,0.828571429,KC3 Performance Metrics,,,,,,,
Random Search,KC3,Recall,0.90625,KC3 Performance Metrics,,,,,,,
Random Search,KC3,F1 Score,0.865671642,KC3 Performance Metrics,,,,,,,
Random Search,KC3,AUC,0.944335938,KC3 Performance Metrics,,,,,,,
Random Search,KC3,,,KC3 Best Hyperparameters,subsample,1,,,,,
Random Search,KC3,,,KC3 Best Hyperparameters,num_leaves,31,,,,,
Random Search,KC3,,,KC3 Best Hyperparameters,n_estimators,50,,,,,
Random Search,KC3,,,KC3 Best Hyperparameters,min_child_samples,10,,,,,
Random Search,KC3,,,KC3 Best Hyperparameters,max_depth,5,,,,,
Random Search,KC3,,,KC3 Best Hyperparameters,learning_rate,0.05,,,,,
Random Search,KC3,,,KC3 Best Hyperparameters,colsample_bytree,1,,,,,
Random Search,,,,KC3 Classification Report,,,0,0.896551724,0.8125,0.852459016,32
Random Search,,,,KC3 Classification Report,,,1,0.828571429,0.90625,0.865671642,32
Random Search,,,,KC3 Classification Report,,,accuracy,0.859375,0.859375,0.859375,0.859375
Random Search,,,,KC3 Classification Report,,,macro avg,0.862561576,0.859375,0.859065329,64
Random Search,,,,KC3 Classification Report,,,weighted avg,0.862561576,0.859375,0.859065329,64
Random Search,MC1,Accuracy,0.992277992,MC1 Performance Metrics,,,,,,,
Random Search,MC1,Precision,0.991891892,MC1 Performance Metrics,,,,,,,
Random Search,MC1,Recall,0.991891892,MC1 Performance Metrics,,,,,,,
Random Search,MC1,F1 Score,0.991891892,MC1 Performance Metrics,,,,,,,
Random Search,MC1,AUC,0.998651969,MC1 Performance Metrics,,,,,,,
Random Search,MC1,,,MC1 Best Hyperparameters,subsample,0.8,,,,,
Random Search,MC1,,,MC1 Best Hyperparameters,num_leaves,31,,,,,
Random Search,MC1,,,MC1 Best Hyperparameters,n_estimators,200,,,,,
Random Search,MC1,,,MC1 Best Hyperparameters,min_child_samples,5,,,,,
Random Search,MC1,,,MC1 Best Hyperparameters,max_depth,7,,,,,
Random Search,MC1,,,MC1 Best Hyperparameters,learning_rate,0.1,,,,,
Random Search,MC1,,,MC1 Best Hyperparameters,colsample_bytree,0.8,,,,,
Random Search,,,,MC1 Classification Report,,,0,0.992628993,0.992628993,0.992628993,407
Random Search,,,,MC1 Classification Report,,,1,0.991891892,0.991891892,0.991891892,370
Random Search,,,,MC1 Classification Report,,,accuracy,0.992277992,0.992277992,0.992277992,0.992277992
Random Search,,,,MC1 Classification Report,,,macro avg,0.992260442,0.992260442,0.992260442,777
Random Search,,,,MC1 Classification Report,,,weighted avg,0.992277992,0.992277992,0.992277992,777
Random Search,MC2,Accuracy,0.787878788,MC2 Performance Metrics,,,,,,,
Random Search,MC2,Precision,0.761904762,MC2 Performance Metrics,,,,,,,
Random Search,MC2,Recall,0.888888889,MC2 Performance Metrics,,,,,,,
Random Search,MC2,F1 Score,0.820512821,MC2 Performance Metrics,,,,,,,
Random Search,MC2,AUC,0.948148148,MC2 Performance Metrics,,,,,,,
Random Search,MC2,,,MC2 Best Hyperparameters,subsample,0.8,,,,,
Random Search,MC2,,,MC2 Best Hyperparameters,num_leaves,31,,,,,
Random Search,MC2,,,MC2 Best Hyperparameters,n_estimators,100,,,,,
Random Search,MC2,,,MC2 Best Hyperparameters,min_child_samples,10,,,,,
Random Search,MC2,,,MC2 Best Hyperparameters,max_depth,5,,,,,
Random Search,MC2,,,MC2 Best Hyperparameters,learning_rate,0.05,,,,,
Random Search,MC2,,,MC2 Best Hyperparameters,colsample_bytree,1,,,,,
Random Search,,,,MC2 Classification Report,,,0,0.833333333,0.666666667,0.740740741,15
Random Search,,,,MC2 Classification Report,,,1,0.761904762,0.888888889,0.820512821,18
Random Search,,,,MC2 Classification Report,,,accuracy,0.787878788,0.787878788,0.787878788,0.787878788
Random Search,,,,MC2 Classification Report,,,macro avg,0.797619048,0.777777778,0.780626781,33
Random Search,,,,MC2 Classification Report,,,weighted avg,0.794372294,0.787878788,0.784252784,33
Random Search,MW1,Accuracy,0.967032967,MW1 Performance Metrics,,,,,,,
Random Search,MW1,Precision,0.96,MW1 Performance Metrics,,,,,,,
Random Search,MW1,Recall,0.979591837,MW1 Performance Metrics,,,,,,,
Random Search,MW1,F1 Score,0.96969697,MW1 Performance Metrics,,,,,,,
Random Search,MW1,AUC,0.995140914,MW1 Performance Metrics,,,,,,,
Random Search,MW1,,,MW1 Best Hyperparameters,subsample,0.8,,,,,
Random Search,MW1,,,MW1 Best Hyperparameters,num_leaves,20,,,,,
Random Search,MW1,,,MW1 Best Hyperparameters,n_estimators,200,,,,,
Random Search,MW1,,,MW1 Best Hyperparameters,min_child_samples,10,,,,,
Random Search,MW1,,,MW1 Best Hyperparameters,max_depth,7,,,,,
Random Search,MW1,,,MW1 Best Hyperparameters,learning_rate,0.1,,,,,
Random Search,MW1,,,MW1 Best Hyperparameters,colsample_bytree,0.6,,,,,
Random Search,,,,MW1 Classification Report,,,0,0.975609756,0.952380952,0.963855422,42
Random Search,,,,MW1 Classification Report,,,1,0.96,0.979591837,0.96969697,49
Random Search,,,,MW1 Classification Report,,,accuracy,0.967032967,0.967032967,0.967032967,0.967032967
Random Search,,,,MW1 Classification Report,,,macro avg,0.967804878,0.965986395,0.966776196,91
Random Search,,,,MW1 Classification Report,,,weighted avg,0.967204503,0.967032967,0.967000871,91
Random Search,PC1,Accuracy,0.96124031,PC1 Performance Metrics,,,,,,,
Random Search,PC1,Precision,0.944,PC1 Performance Metrics,,,,,,,
Random Search,PC1,Recall,0.975206612,PC1 Performance Metrics,,,,,,,
Random Search,PC1,F1 Score,0.959349593,PC1 Performance Metrics,,,,,,,
Random Search,PC1,AUC,0.994570791,PC1 Performance Metrics,,,,,,,
Random Search,PC1,,,PC1 Best Hyperparameters,subsample,0.6,,,,,
Random Search,PC1,,,PC1 Best Hyperparameters,num_leaves,40,,,,,
Random Search,PC1,,,PC1 Best Hyperparameters,n_estimators,200,,,,,
Random Search,PC1,,,PC1 Best Hyperparameters,min_child_samples,10,,,,,
Random Search,PC1,,,PC1 Best Hyperparameters,max_depth,-1,,,,,
Random Search,PC1,,,PC1 Best Hyperparameters,learning_rate,0.1,,,,,
Random Search,PC1,,,PC1 Best Hyperparameters,colsample_bytree,0.6,,,,,
Random Search,,,,PC1 Classification Report,,,0,0.977443609,0.948905109,0.962962963,137
Random Search,,,,PC1 Classification Report,,,1,0.944,0.975206612,0.959349593,121
Random Search,,,,PC1 Classification Report,,,accuracy,0.96124031,0.96124031,0.96124031,0.96124031
Random Search,,,,PC1 Classification Report,,,macro avg,0.960721805,0.962055861,0.961156278,258
Random Search,,,,PC1 Classification Report,,,weighted avg,0.961758816,0.96124031,0.961268321,258
Random Search,PC2,Accuracy,0.98630137,PC2 Performance Metrics,,,,,,,
Random Search,PC2,Precision,0.98013245,PC2 Performance Metrics,,,,,,,
Random Search,PC2,Recall,0.993288591,PC2 Performance Metrics,,,,,,,
Random Search,PC2,F1 Score,0.986666667,PC2 Performance Metrics,,,,,,,
Random Search,PC2,AUC,0.999530671,PC2 Performance Metrics,,,,,,,
Random Search,PC2,,,PC2 Best Hyperparameters,subsample,0.8,,,,,
Random Search,PC2,,,PC2 Best Hyperparameters,num_leaves,20,,,,,
Random Search,PC2,,,PC2 Best Hyperparameters,n_estimators,200,,,,,
Random Search,PC2,,,PC2 Best Hyperparameters,min_child_samples,10,,,,,
Random Search,PC2,,,PC2 Best Hyperparameters,max_depth,5,,,,,
Random Search,PC2,,,PC2 Best Hyperparameters,learning_rate,0.1,,,,,
Random Search,PC2,,,PC2 Best Hyperparameters,colsample_bytree,0.8,,,,,
Random Search,,,,PC2 Classification Report,,,0,0.992907801,0.979020979,0.985915493,143
